dt,Sunlight,Workday
2013-01-01 00:00:00,570.0422215,0
2013-01-02 00:00:00,570.7683123,1
2013-01-03 00:00:00,571.553197,1
2013-01-04 00:00:00,572.3961454,1
2013-01-05 00:00:00,573.2963803,0
2013-01-06 00:00:00,574.2530802,0
2013-01-07 00:00:00,575.2653814,1
2013-01-08 00:00:00,576.332381,1
2013-01-09 00:00:00,577.4531398,1
2013-01-10 00:00:00,578.626685,1
2013-01-11 00:00:00,579.8520131,1
2013-01-12 00:00:00,581.1280928,0
2013-01-13 00:00:00,582.4538676,0
2013-01-14 00:00:00,583.8282592,1
2013-01-15 00:00:00,585.25017,1
2013-01-16 00:00:00,586.718486,1
2013-01-17 00:00:00,588.2320793,1
2013-01-18 00:00:00,589.7898114,1
2013-01-19 00:00:00,591.3905351,0
2013-01-20 00:00:00,593.0330975,0
2013-01-21 00:00:00,594.7163423,0
2013-01-22 00:00:00,596.4391122,1
2013-01-23 00:00:00,598.200251,1
2013-01-24 00:00:00,599.9986059,1
2013-01-25 00:00:00,601.8330296,1
2013-01-26 00:00:00,603.7023817,0
2013-01-27 00:00:00,605.6055313,0
2013-01-28 00:00:00,607.5413579,1
2013-01-29 00:00:00,609.5087534,1
2013-01-30 00:00:00,611.5066233,1
2013-01-31 00:00:00,613.5338882,1
2013-02-01 00:00:00,615.589485,1
2013-02-02 00:00:00,617.6723675,0
2013-02-03 00:00:00,619.7815082,0
2013-02-04 00:00:00,621.9158982,1
2013-02-05 00:00:00,624.0745487,1
2013-02-06 00:00:00,626.2564914,1
2013-02-07 00:00:00,628.4607787,1
2013-02-08 00:00:00,630.6864846,1
2013-02-09 00:00:00,632.9327049,0
2013-02-10 00:00:00,635.1985573,0
2013-02-11 00:00:00,637.4831818,1
2013-02-12 00:00:00,639.7857406,1
2013-02-13 00:00:00,642.1054182,1
2013-02-14 00:00:00,644.4414214,1
2013-02-15 00:00:00,646.7929793,1
2013-02-16 00:00:00,649.1593427,0
2013-02-17 00:00:00,651.5397844,0
2013-02-18 00:00:00,653.9335983,0
2013-02-19 00:00:00,656.3400998,1
2013-02-20 00:00:00,658.7586248,1
2013-02-21 00:00:00,661.1885296,1
2013-02-22 00:00:00,663.6291903,1
2013-02-23 00:00:00,666.0800024,0
2013-02-24 00:00:00,668.5403803,0
2013-02-25 00:00:00,671.0097565,1
2013-02-26 00:00:00,673.4875814,1
2013-02-27 00:00:00,675.9733224,1
2013-02-28 00:00:00,678.4664633,1
2013-03-01 00:00:00,680.9665041,1
2013-03-02 00:00:00,683.4729595,0
2013-03-03 00:00:00,685.9853591,0
2013-03-04 00:00:00,688.5032461,1
2013-03-05 00:00:00,691.0261771,1
2013-03-06 00:00:00,693.5537209,1
2013-03-07 00:00:00,696.0854582,1
2013-03-08 00:00:00,698.6209807,1
2013-03-09 00:00:00,701.1598905,0
2013-03-10 00:00:00,703.7017993,0
2013-03-11 00:00:00,706.2463275,1
2013-03-12 00:00:00,708.7931039,1
2013-03-13 00:00:00,711.3417647,1
2013-03-14 00:00:00,713.8919527,1
2013-03-15 00:00:00,716.4433169,1
2013-03-16 00:00:00,718.9955115,0
2013-03-17 00:00:00,721.5481952,0
2013-03-18 00:00:00,724.1010307,1
